Customer ID,gross_invoicing,credit_notes,n_invoices,last_activity,top_line_concentration,net_ledger,funding_in_use,dilution_rate,days_since_activity,dilution_component,concentration_component,dormancy_component,risk_score,priority
12398,1635.6599999999999,0.0,1,2011-10-25 10:27:00,0.12227480038638837,1635.6599999999999,1308.528,0.0,45,0.0,0.0306,0.125,0.1556,203.61
12399,1962.3,0.0,7,2011-08-12 13:15:00,0.07154869286041891,1962.3,1569.8400000000001,0.0,118,0.0,0.0179,0.25,0.2679,420.56
12400,205.25,0.0,1,2010-10-21 13:45:00,0.14470158343483558,205.25,164.20000000000002,0.0,413,0.0,0.0362,0.25,0.2862,46.99
12401,84.3,0.0,1,2011-02-09 13:50:00,0.302491103202847,84.3,67.44,0.0,302,0.0,0.0756,0.25,0.3256,21.96
12402,1256.9,12.75,7,2011-01-20 13:49:00,0.09547298910016708,1244.15,995.3200000000002,0.010144005091892751,322,0.0169,0.0239,0.25,0.2908,289.44
12403,1019.36,18.0,3,2011-10-21 11:00:00,0.40229163396641027,1001.36,801.0880000000001,0.01765813843980537,49,0.0294,0.1006,0.1361,0.2661,213.17
12404,63.24,0.0,1,2010-01-26 16:25:00,1.0,63.24,50.592000000000006,0.0,681,0.0,0.25,0.25,0.5,25.3
12405,1710.39,0.0,1,2011-07-14 08:52:00,0.1870918328568338,1710.39,1368.3120000000001,0.0,148,0.0,0.0468,0.25,0.2968,406.12
12406,6390.36,318.15000000000003,7,2011-11-17 19:22:00,0.047962869071539,6072.21,4857.768,0.04978592755337728,21,0.083,0.012,0.0583,0.1533,744.7
12407,1708.1200000000001,0.0,5,2011-10-21 10:11:00,0.1176732313888954,1708.1200000000001,1366.496,0.0,49,0.0,0.0294,0.1361,0.1655,226.16
12408,4340.7699999999995,61.13,14,2011-11-07 12:30:00,0.10021263508548024,4279.639999999999,3423.7119999999995,0.01408275490293197,32,0.0235,0.0251,0.0889,0.1375,470.76
12409,23419.29,328.82,13,2011-09-22 10:38:00,0.024872658393999134,23090.47,18472.376,0.014040562288609091,78,0.0234,0.0062,0.2167,0.2463,4549.75
12410,1013.71,12.25,4,2011-02-11 15:47:00,0.23675410127156682,1001.46,801.1680000000001,0.012084323919069556,300,0.0201,0.0592,0.25,0.3293,263.82
12411,346.9,0.0,1,2010-10-26 09:25:00,0.17209570481406744,346.9,277.52,0.0,409,0.0,0.043,0.25,0.293,81.31
12412,2596.93,15.9,8,2011-09-26 10:16:00,0.07393345219162627,2581.0299999999997,2064.824,0.0061226140096190505,74,0.0102,0.0185,0.2056,0.2343,483.79
12413,999.45,63.95,6,2011-10-04 09:00:00,0.12807043874130772,935.5,748.4000000000001,0.06398519185552054,66,0.1066,0.032,0.1833,0.3219,240.91
12414,952.41,260.0,8,2011-05-06 14:51:00,0.2729916737539505,692.41,553.928,0.2729916737539505,216,0.455,0.0682,0.25,0.7732,428.3
12415,144458.37,1189.08,33,2011-11-15 14:22:00,0.01975794133631717,143269.29,114615.43200000002,0.008231298747175398,23,0.0137,0.0049,0.0639,0.0825,9455.77
12416,202.56,0.0,1,2010-02-21 10:19:00,0.12440758293838863,202.56,162.048,0.0,656,0.0,0.0311,0.25,0.2811,45.55
12417,6816.91,108.69999999999999,27,2011-12-06 14:52:00,0.11720852996445603,6708.21,5366.568,0.01594564106024577,2,0.0266,0.0293,0.0056,0.0615,330.04
12418,2021.2,4.25,5,2011-08-19 11:08:00,0.08009103502869581,2016.95,1613.5600000000002,0.002102711260637245,112,0.0035,0.02,0.25,0.2735,441.31
12419,503.01,0.0,2,2010-11-19 10:04:00,0.2226595892725791,503.01,402.408,0.0,385,0.0,0.0557,0.25,0.3057,123.02
12420,600.39,0.0,1,2011-10-07 08:55:00,0.06629024467429503,600.39,480.312,0.0,63,0.0,0.0166,0.175,0.1916,92.03
12421,1098.6,5.77,8,2011-11-24 09:07:00,0.20389586746768618,1092.83,874.264,0.005252139086109594,15,0.0088,0.051,0.0417,0.1015,88.74
12422,5231.8,1112.45,21,2011-09-05 09:48:00,0.2023108681524523,4119.35,3295.4800000000005,0.21263236362246263,95,0.3544,0.0506,0.25,0.655,2158.54
12423,2622.39,10.2,11,2011-12-09 10:10:00,0.12240742223696705,2612.19,2089.752,0.0038895816411746538,0,0.0065,0.0306,0.0,0.0371,77.53
12424,3340.03,50.25,7,2011-06-30 12:06:00,0.10688526749759732,3289.78,2631.8240000000005,0.015044775046930716,162,0.0251,0.0267,0.25,0.3018,794.28
12425,1741.41,60.6,3,2011-09-22 17:31:00,0.07114924113218599,1680.8100000000002,1344.6480000000001,0.03479938670387789,77,0.058,0.0178,0.2139,0.2897,389.54
12426,1345.21,33.8,3,2011-05-29 12:26:00,0.10704648344868087,1311.41,1049.1280000000002,0.0251261884761487,194,0.0419,0.0268,0.25,0.3187,334.36
12427,1129.3,117.42999999999999,5,2011-11-28 10:48:00,0.18064287611794919,1011.87,809.4960000000001,0.10398476932613122,11,0.1733,0.0452,0.0306,0.2491,201.65
12428,7956.46,79.26,12,2011-11-14 08:22:00,0.1256840353624602,7877.2,6301.76,0.009961716642828595,25,0.0166,0.0314,0.0694,0.1174,739.83
12429,7485.91,50.4,9,2011-11-30 17:22:00,0.06759365260870089,7435.51,5948.408,0.006732648402131471,8,0.0112,0.0169,0.0222,0.0503,299.2
12430,256.4,0.0,1,2011-10-27 15:09:00,0.18642745709828393,256.4,205.12,0.0,42,0.0,0.0466,0.1167,0.1633,33.5
12431,10857.97,138.56,33,2011-11-04 11:55:00,0.13079792999980658,10719.41,8575.528,0.012761133066309818,35,0.0213,0.0327,0.0972,0.1512,1296.62
12432,5059.32,0.0,5,2011-10-28 11:43:00,0.13835851458298745,5059.32,4047.456,0.0,42,0.0,0.0346,0.1167,0.1513,612.38
12433,20581.26,152.4,11,2011-12-09 10:02:00,0.02617915521207157,20428.859999999997,16343.087999999998,0.007404794458648305,0,0.0123,0.0065,0.0,0.0188,307.25
12434,1103.43,40.949999999999996,5,2011-09-16 12:38:00,0.08627642895335454,1062.48,849.984,0.03711155216008265,84,0.0619,0.0216,0.2333,0.3168,269.27
12435,13925.93,0.0,6,2011-09-21 09:06:00,0.07238295754753901,13925.93,11140.744,0.0,79,0.0,0.0181,0.2194,0.2375,2645.93
12436,509.01,0.0,1,2011-09-01 12:09:00,0.15716783560244393,509.01,407.208,0.0,99,0.0,0.0393,0.25,0.2893,117.81
12437,12683.4,288.55,47,2011-12-08 11:35:00,0.11045934055537159,12394.85,9915.880000000001,0.02275020893451283,1,0.0379,0.0276,0.0028,0.0683,677.25
12438,2906.85,0.0,2,2011-11-25 13:28:00,0.15136659958374185,2906.85,2325.48,0.0,13,0.0,0.0378,0.0361,0.0739,171.85
12439,1158.18,53.699999999999996,3,2010-01-26 12:11:00,0.04584779567942807,1104.48,883.5840000000001,0.04636584986789617,682,0.0773,0.0115,0.25,0.3388,299.36
12440,859.2,91.05000000000001,3,2010-09-08 15:57:00,0.13966480446927373,768.1500000000001,614.5200000000001,0.10597067039106146,456,0.1766,0.0349,0.25,0.4615,283.6
12441,347.1,0.0,1,2010-12-08 10:45:00,0.13396715643906654,347.1,277.68,0.0,366,0.0,0.0335,0.25,0.2835,78.72
12442,172.06,0.0,1,2011-12-06 14:22:00,0.1743577821690108,172.06,137.648,0.0,2,0.0,0.0436,0.0056,0.0492,6.77
12443,485.31,0.0,1,2009-12-07 15:42:00,0.24726463497558263,485.31,388.24800000000005,0.0,731,0.0,0.0618,0.25,0.3118,121.06
12444,5005.46,0.0,5,2011-11-18 13:23:00,0.18379929117403795,5005.46,4004.3680000000004,0.0,20,0.0,0.0459,0.0556,0.1015,406.44
12445,434.98,8.5,3,2011-11-17 18:43:00,0.1287415513356936,426.48,341.184,0.019541128327739205,21,0.0326,0.0322,0.0583,0.1231,42.0
12446,1002.3100000000001,0.0,1,2011-10-13 12:50:00,0.03816184613542716,1002.3100000000001,801.8480000000001,0.0,57,0.0,0.0095,0.1583,0.1678,134.55
12447,476.49,0.0,1,2011-04-10 13:25:00,0.09444059686457218,476.49,381.192,0.0,242,0.0,0.0236,0.25,0.2736,104.29
12448,449.45,0.0,1,2011-10-26 13:46:00,0.1868950940037824,449.45,359.56,0.0,43,0.0,0.0467,0.1194,0.1661,59.72
12449,4835.89,0.0,6,2011-11-17 13:46:00,0.11600760149631194,4835.89,3868.7120000000004,0.0,21,0.0,0.029,0.0583,0.0873,337.74
12450,688.2,21.25,7,2011-07-06 14:41:00,0.11987794245858761,666.95,533.5600000000001,0.03087765184539378,155,0.0515,0.03,0.25,0.3315,176.88
12451,12669.88,123.35,10,2011-11-29 08:40:00,0.029100512396328933,12546.529999999999,10037.224,0.00973568810438615,10,0.0162,0.0073,0.0278,0.0513,514.91
12452,430.57,2.0,3,2011-11-23 10:28:00,0.19044522377313794,428.57,342.856,0.004645005457881413,16,0.0077,0.0476,0.0444,0.0997,34.18
12453,707.09,0.0,1,2011-07-28 14:08:00,0.04242741376628152,707.09,565.672,0.0,133,0.0,0.0106,0.25,0.2606,147.41
12454,16679.78,12387.07,9,2011-10-17 15:07:00,0.15712437454211026,4292.709999999999,3434.1679999999997,0.7426398909338133,52,0.5,0.0393,0.1444,0.6837,2347.94
12455,5879.95,0.0,10,2011-09-27 15:31:00,0.06153113546883902,5879.95,4703.96,0.0,72,0.0,0.0154,0.2,0.2154,1013.23
12456,3181.04,27.15,4,2011-10-26 14:41:00,0.188617559037296,3153.89,2523.112,0.008534944546437643,43,0.0142,0.0472,0.1194,0.1808,456.18
12457,2995.91,523.6,14,2011-10-12 13:46:00,0.14686689520045662,2472.31,1977.848,0.1747716052885434,57,0.2913,0.0367,0.1583,0.4863,961.83
12458,1777.49,0.0,4,2011-09-29 15:25:00,0.15471254409307506,1777.49,1421.9920000000002,0.0,70,0.0,0.0387,0.1944,0.2331,331.47
12459,454.36,0.0,1,2010-04-13 14:53:00,0.12325028611673562,454.36,363.48800000000006,0.0,604,0.0,0.0308,0.25,0.2808,102.07
12460,326.65,0.0,1,2010-09-09 13:51:00,0.09184142048063677,326.65,261.32,0.0,455,0.0,0.023,0.25,0.273,71.34
12461,826.88,0.0,2,2011-09-06 16:57:00,0.24187306501547987,826.88,661.504,0.0,93,0.0,0.0605,0.25,0.3105,205.4
12462,1189.59,65.58,4,2011-12-07 14:02:00,0.21183769197790836,1124.01,899.2080000000001,0.0551282374599652,1,0.0919,0.053,0.0028,0.1477,132.81
12463,1344.78,41.15,7,2011-10-24 13:43:00,0.10708071208673538,1303.6299999999999,1042.904,0.03059980071089695,45,0.051,0.0268,0.125,0.2028,211.5
12464,1212.05,0.0,8,2011-11-29 13:33:00,0.3749845303411576,1212.05,969.64,0.0,9,0.0,0.0937,0.025,0.1187,115.1
12465,742.1899999999999,8.3,3,2011-12-02 11:34:00,0.08084183295382584,733.89,587.112,0.011183120225279243,7,0.0186,0.0202,0.0194,0.0582,34.17
12466,56.73,0.0,1,2010-01-26 16:26:00,1.0,56.73,45.384,0.0,681,0.0,0.25,0.25,0.5,22.69
12467,132.8,132.8,2,2010-11-18 15:53:00,0.1762048192771084,0.0,0.0,1.0,385,0.5,0.0441,0.25,0.7941,0.0
12468,3670.74,46.19,10,2011-07-19 13:42:00,0.11768744176923455,3624.5499999999997,2899.64,0.012583293831761443,142,0.021,0.0294,0.25,0.3004,871.05
12469,3070.54,0.0,2,2010-07-05 12:40:00,0.11724322106209331,3070.54,2456.4320000000002,0.0,522,0.0,0.0293,0.25,0.2793,686.08
12470,211.95,0.0,1,2010-01-19 11:01:00,0.09742863882991273,211.95,169.56,0.0,689,0.0,0.0244,0.25,0.2744,46.53
12471,39963.79,2015.1799999999998,129,2011-12-07 15:43:00,0.18133790613953277,37948.61,30358.888000000003,0.05042514736465185,1,0.084,0.0453,0.0028,0.1321,4010.41
12472,17880.59,923.9,37,2011-11-09 11:33:00,0.07751422072761581,16956.69,13565.351999999999,0.05167055449512572,30,0.0861,0.0194,0.0833,0.1888,2561.14
12473,3938.5499999999997,1090.32,9,2011-11-10 13:48:00,0.2676924248771756,2848.2299999999996,2278.584,0.2768328445747801,28,0.4614,0.0669,0.0778,0.6061,1381.05
12474,12424.45,458.0,54,2011-11-22 14:39:00,0.0854766206954835,11966.45,9573.160000000002,0.03686279875567933,16,0.0614,0.0214,0.0444,0.1272,1217.71
12475,1149.64,0.0,2,2011-10-17 10:10:00,0.07306635120559479,1149.64,919.7120000000001,0.0,53,0.0,0.0183,0.1472,0.1655,152.21
12476,14115.41,399.78999999999996,38,2011-12-08 14:08:00,0.1249698025066222,13715.619999999999,10972.496,0.02832294634020549,0,0.0472,0.0312,0.0,0.0784,860.24
12477,20276.37,102.72999999999999,12,2011-11-17 09:51:00,0.03434046626689097,20173.64,16138.912,0.005066488725546042,22,0.0084,0.0086,0.0611,0.0781,1260.45
12478,680.99,0.0,1,2011-12-06 09:56:00,0.19824079648746679,680.99,544.792,0.0,3,0.0,0.0496,0.0083,0.0579,31.54
12479,527.2,49.9,3,2011-12-06 09:25:00,0.10242792109256449,477.30000000000007,381.8400000000001,0.09465098634294385,3,0.1578,0.0256,0.0083,0.1917,73.2
12480,5464.85,29.75,8,2011-11-11 14:52:00,0.11528221268653302,5435.1,4348.080000000001,0.005443882265752948,27,0.0091,0.0288,0.075,0.1129,490.9
12481,12361.39,144.35999999999999,18,2011-11-17 08:29:00,0.09464954992925553,12217.029999999999,9773.624,0.011678298314348143,22,0.0195,0.0237,0.0611,0.1043,1019.39
12482,23691.4,1797.8700000000001,32,2010-09-16 12:20:00,0.07956473657107642,21893.530000000002,17514.824000000004,0.07588703073689188,449,0.1265,0.0199,0.25,0.3964,6942.88
12483,5120.58,273.71,27,2011-11-22 17:03:00,0.20075850782528543,4846.87,3877.496,0.05345292916036855,16,0.0891,0.0502,0.0444,0.1837,712.3
12484,6370.15,66.3,16,2011-11-07 11:37:00,0.12511479321523042,6303.849999999999,5043.08,0.01040791818089056,32,0.0173,0.0313,0.0889,0.1375,693.42
12485,708.1,0.0,1,2010-06-28 15:22:00,0.10761191922044908,708.1,566.48,0.0,528,0.0,0.0269,0.25,0.2769,156.86
12486,1037.28,0.0,1,2010-10-04 12:14:00,0.11568718186024989,1037.28,829.8240000000001,0.0,431,0.0,0.0289,0.25,0.2789,231.44
12487,285.29999999999995,25.5,2,2009-12-09 11:36:00,0.7318611987381703,259.79999999999995,207.83999999999997,0.0893796004206099,730,0.149,0.183,0.25,0.582,120.96
12488,1298.66,0.0,3,2011-11-30 08:50:00,0.07623242419108928,1298.66,1038.928,0.0,9,0.0,0.0191,0.025,0.0441,45.82
12489,334.93,0.0,1,2011-01-07 13:13:00,0.10748514614994177,334.93,267.944,0.0,335,0.0,0.0269,0.25,0.2769,74.19
12490,9823.64,5.0,22,2011-12-04 16:07:00,0.10780118163939233,9818.64,7854.912,0.0005089763061349969,4,0.0008,0.027,0.0111,0.0389,305.56
12491,460.40000000000003,0.0,1,2011-11-01 12:18:00,0.13553431798436144,460.40000000000003,368.32000000000005,0.0,38,0.0,0.0339,0.1056,0.1395,51.38
12492,715.21,0.0,3,2011-10-07 15:15:00,0.1510046000475385,715.21,572.168,0.0,62,0.0,0.0378,0.1722,0.21,120.16
12493,433.74,16.95,3,2011-06-27 10:17:00,0.08299903167796376,416.79,333.432,0.0390787107483746,165,0.0651,0.0207,0.25,0.3358,111.97
12494,1872.8700000000001,129.35,17,2011-11-30 09:21:00,0.1441637700427686,1743.5200000000002,1394.8160000000003,0.06906512464826708,9,0.1151,0.036,0.025,0.1761,245.63
12495,357.4,34.0,2,2010-03-15 10:20:00,0.22383883603805263,323.4,258.71999999999997,0.09513150531617236,634,0.1586,0.056,0.25,0.4646,120.2
12496,54.09,0.0,2,2010-03-29 14:06:00,0.20798668885191346,54.09,43.272000000000006,0.0,619,0.0,0.052,0.25,0.302,13.07
12497,6248.5,36.75,4,2011-09-19 12:29:00,0.058036328718892534,6211.75,4969.400000000001,0.005881411538769305,81,0.0098,0.0145,0.225,0.2493,1238.87
12498,403.70000000000005,0.0,3,2011-11-18 12:53:00,0.13376269507059696,403.70000000000005,322.96000000000004,0.0,20,0.0,0.0334,0.0556,0.089,28.74
12499,393.72,0.0,1,2010-05-28 15:12:00,0.09143553794574824,393.72,314.97600000000006,0.0,559,0.0,0.0229,0.25,0.2729,85.96
12500,5955.21,82.9,25,2011-11-16 16:20:00,0.13571309827865013,5872.31,4697.848000000001,0.013920583824919694,22,0.0232,0.0339,0.0611,0.1182,555.29
12501,2169.39,79.71000000000001,2,2011-01-28 13:54:00,0.0663781062879427,2089.68,1671.744,0.03674304758480495,314,0.0612,0.0166,0.25,0.3278,548.0
12502,3723.87,0.0,5,2011-09-05 11:52:00,0.1954955462999514,3723.87,2979.096,0.0,95,0.0,0.0489,0.25,0.2989,890.45
12503,1126.0,1126.0,2,2011-01-06 11:51:00,0.7957371225577264,0.0,0.0,1.0,337,0.5,0.1989,0.25,0.9489,0.0
12504,779.05,368.04999999999995,6,2011-11-21 16:02:00,0.18503305307746612,411.0,328.8,0.47243437520056475,17,0.5,0.0463,0.0472,0.5935,195.14
12505,955.2,47.2,3,2011-02-11 13:39:00,0.1758793969849246,908.0,726.4000000000001,0.049413735343383586,300,0.0824,0.044,0.25,0.3764,273.42
12506,73.5,0.0,1,2011-04-21 08:54:00,0.10816326530612246,73.5,58.800000000000004,0.0,232,0.0,0.027,0.25,0.277,16.29
12507,1844.06,46.75,5,2011-07-28 17:09:00,0.1822066527119508,1797.31,1437.848,0.025351669685368155,133,0.0423,0.0456,0.25,0.3379,485.85
12508,398.27,0.0,2,2011-11-13 15:37:00,0.0994300349009466,398.27,318.616,0.0,25,0.0,0.0249,0.0694,0.0943,30.05
12509,176.5,0.0,1,2011-02-28 14:45:00,0.2804532577903683,176.5,141.20000000000002,0.0,283,0.0,0.0701,0.25,0.3201,45.2
12510,5178.02,1488.69,16,2011-07-20 10:15:00,0.2724960506139412,3689.3300000000004,2951.4640000000004,0.28750178639711704,142,0.4792,0.0681,0.25,0.7973,2353.2
12511,3084.02,18.25,2,2010-10-21 10:58:00,0.028793587590223154,3065.77,2452.616,0.005917601053170862,414,0.0099,0.0072,0.25,0.2671,655.09
12512,138.03,0.0,2,2011-10-04 14:55:00,0.07607041947402739,138.03,110.424,0.0,65,0.0,0.019,0.1806,0.1996,22.04
12513,612.29,25.5,2,2011-09-16 12:45:00,0.08819350307860654,586.79,469.432,0.04164693200934198,84,0.0694,0.022,0.2333,0.3247,152.42
12514,1597.76,0.0,2,2011-03-17 16:38:00,0.06376426997796915,1597.76,1278.208,0.0,266,0.0,0.0159,0.25,0.2659,339.88
12515,383.7,0.0,1,2010-12-21 15:43:00,0.2736512900703675,383.7,306.96,0.0,352,0.0,0.0684,0.25,0.3184,97.74
12516,2648.62,0.0,4,2011-09-23 09:13:00,0.13591983750028316,2648.62,2118.896,0.0,77,0.0,0.034,0.2139,0.2479,525.27
12517,2502.84,37.949999999999996,6,2011-11-11 14:04:00,0.07191830081027951,2464.8900000000003,1971.9120000000003,0.015162775087500597,27,0.0253,0.018,0.075,0.1183,233.28
12518,2056.89,0.0,5,2011-12-09 10:13:00,0.10501290783658826,2056.89,1645.512,0.0,0,0.0,0.0263,0.0,0.0263,43.28
12519,726.54,31.35,3,2011-10-07 09:26:00,0.12387480386489388,695.1899999999999,556.1519999999999,0.043149723346271374,63,0.0719,0.031,0.175,0.2779,154.55
12520,2634.26,51.75,6,2011-09-21 15:23:00,0.10932861600601307,2582.51,2066.0080000000003,0.019644985688580474,78,0.0327,0.0273,0.2167,0.2767,571.66
12521,599.68,0.0,1,2011-07-20 10:51:00,0.09004802561366063,599.68,479.74399999999997,0.0,142,0.0,0.0225,0.25,0.2725,130.73
