Invoice,client,value,n_lines,flag_round_number,date,flag_duplicate
558333,13953,500.0,1,True,2011-06-28,False
530963,15389,500.0,1,True,2010-11-04,False
491587,13953,500.0,1,True,2009-12-11,False
518334,13953,500.0,1,True,2010-08-06,False
539762,13953,500.0,1,True,2010-12-22,False
571610,13953,500.0,1,True,2011-10-18,False
579193,12657,491.12,9,False,2011-11-28,True
579190,12657,491.12,9,False,2011-11-28,True
536630,17850,488.92,16,False,2010-12-02,True
536609,17850,488.92,16,False,2010-12-02,True
524522,14911,483.15,25,False,2010-09-29,True
524539,14911,483.15,1,False,2010-09-29,True
496907,16986,475.3,25,False,2010-02-04,True
496919,16986,475.3,25,False,2010-02-04,True
496912,16986,475.3,25,False,2010-02-04,True
505075,17850,434.26,21,False,2010-04-20,True
505087,17850,434.26,21,False,2010-04-20,True
515826,13694,432.0,3,False,2010-07-15,True
515825,13694,432.0,2,False,2010-07-15,True
504907,17850,430.12,21,False,2010-04-19,True
504906,17850,430.12,21,False,2010-04-19,True
547644,14267,418.18,15,False,2011-03-24,True
547655,14267,418.18,15,False,2011-03-24,True
551419,12748,400.0,1,True,2011-04-28,False
554015,17644,400.0,27,True,2011-05-20,False
525715,16307,400.0,21,True,2010-10-06,False
531575,16013,366.0,2,False,2010-11-09,True
531572,16013,366.0,2,False,2010-11-09,True
497337,14911,365.1,21,False,2010-02-08,True
497339,14911,365.1,1,False,2010-02-08,True
524186,15270,360.45,15,False,2010-09-28,True
524263,15270,360.45,15,False,2010-09-28,True
548629,16333,355.20000000000005,1,False,2011-04-01,True
548630,16333,355.20000000000005,1,False,2011-04-01,True
504887,17850,326.16,21,False,2010-04-18,True
504881,17850,326.16,21,False,2010-04-18,True
544578,12365,320.69,1,False,2011-02-21,True
544574,12365,320.69,21,False,2011-02-21,True
496959,17949,318.0,1,False,2010-02-04,True
496962,17949,318.0,1,False,2010-02-04,True
525909,13776,311.99,1,False,2010-10-07,True
525905,13776,311.99,1,False,2010-10-07,True
571259,12901,306.0,1,False,2011-10-16,True
571261,12901,306.0,1,False,2011-10-16,True
547041,13777,300.0,5,True,2011-03-20,False
542134,15189,300.0,3,True,2011-01-25,False
527057,16211,300.0,1,True,2010-10-14,False
546871,16746,300.0,22,True,2011-03-17,False
546631,15181,300.0,2,True,2011-03-15,False
554063,13631,300.0,1,True,2011-05-22,False
523430,14933,295.0,1,False,2010-09-22,True
523428,14933,295.0,1,False,2010-09-22,True
523429,14933,295.0,1,False,2010-09-22,True
555936,12567,286.34000000000003,17,False,2011-06-08,True
555933,12567,286.34000000000003,17,False,2011-06-08,True
506731,14911,269.34,13,False,2010-05-04,True
506740,14911,269.34,1,False,2010-05-04,True
578346,15270,264.6,3,False,2011-11-24,True
578345,15270,264.6,3,False,2011-11-24,True
499959,12380,200.0,1,True,2010-03-03,False
508728,12349,200.0,1,True,2010-05-18,False
492836,18102,200.0,1,True,2009-12-21,False
530961,14060,200.0,4,True,2010-11-04,False
565785,12461,200.0,1,True,2011-09-06,False
527058,12374,200.0,1,True,2010-10-14,False
510780,12823,190.5,1,False,2010-06-03,True
510779,12823,190.5,1,False,2010-06-03,True
529173,13093,135.0,2,False,2010-10-26,True
529175,13093,135.0,2,False,2010-10-26,True
521126,12414,130.0,8,False,2010-09-02,True
521157,12414,130.0,1,False,2010-09-02,True
521154,12414,130.0,1,False,2010-09-02,True
508090,12482,120.0,2,False,2010-05-12,True
508089,12482,120.0,2,False,2010-05-12,True
508086,12482,120.0,2,False,2010-05-12,True
508087,12482,120.0,2,False,2010-05-12,True
570844,15473,102.0,1,False,2011-10-12,True
570848,15473,102.0,1,False,2011-10-12,True
534515,17570,100.0,1,True,2010-11-23,False
517481,12737,100.0,1,True,2010-07-29,False
497882,12748,100.0,1,True,2010-02-14,False
553551,13631,100.0,1,True,2011-05-17,False
501082,17065,97.35,6,False,2010-03-12,True
501083,17065,97.35,6,False,2010-03-12,True
504686,15354,94.8,1,False,2010-04-15,True
504687,15354,94.8,1,False,2010-04-15,True
504688,15354,94.8,1,False,2010-04-15,True
568687,16321,75.0,2,False,2011-09-28,True
568695,16321,75.0,2,False,2011-09-28,True
543372,16321,67.95,2,False,2011-02-07,True
543376,16321,67.95,2,False,2011-02-07,True
552850,14367,61.95000000000001,3,False,2011-05-11,True
552848,14367,61.95000000000001,3,False,2011-05-11,True
523512,17850,55.08,3,False,2010-09-22,True
523470,17850,55.08,3,False,2010-09-22,True
523412,17850,55.08,3,False,2010-09-22,True
497966,16544,47.400000000000006,1,False,2010-02-15,True
497969,16544,47.400000000000006,1,False,2010-02-15,True
536407,17850,44.400000000000006,2,False,2010-12-01,True
536366,17850,44.400000000000006,2,False,2010-12-01,True
536372,17850,44.400000000000006,2,False,2010-12-01,True
536399,17850,44.400000000000006,2,False,2010-12-01,True
536377,17850,44.400000000000006,2,False,2010-12-01,True
536688,17850,44.400000000000006,2,False,2010-12-02,True
536601,17850,44.400000000000006,2,False,2010-12-02,True
536603,17850,44.400000000000006,2,False,2010-12-02,True
536610,17850,44.400000000000006,2,False,2010-12-02,True
536614,17850,44.400000000000006,2,False,2010-12-02,True
536629,17850,44.400000000000006,2,False,2010-12-02,True
536789,17850,44.400000000000006,2,False,2010-12-02,True
536631,17850,44.400000000000006,2,False,2010-12-02,True
536751,17850,44.400000000000006,2,False,2010-12-02,True
536693,17850,44.400000000000006,2,False,2010-12-02,True
536753,17850,44.400000000000006,2,False,2010-12-02,True
498457,17949,40.32,1,False,2010-02-19,True
498505,17949,40.32,1,False,2010-02-19,True
523462,17850,37.68,2,False,2010-09-22,True
523413,17850,37.68,2,False,2010-09-22,True
509354,14744,37.6,6,False,2010-05-21,True
509273,14744,37.6,6,False,2010-05-21,True
569872,13089,33.0,1,False,2011-10-06,True
569873,13089,33.0,1,False,2011-10-06,True
523363,17850,27.54,3,False,2010-09-21,True
523377,17850,27.54,3,False,2010-09-21,True
523353,17850,27.54,3,False,2010-09-21,True
491742,12346,22.5,1,False,2009-12-14,True
491744,12346,22.5,1,False,2009-12-14,True
493410,12346,22.5,1,False,2010-01-04,True
493412,12346,22.5,1,False,2010-01-04,True
523358,17850,18.84,2,False,2010-09-21,True
523375,17850,18.84,2,False,2010-09-21,True
496112,15359,18.75,1,False,2010-01-29,True
496103,15359,18.75,1,False,2010-01-29,True
523469,17850,17.4,2,False,2010-09-22,True
523415,17850,17.4,1,False,2010-09-22,True
511771,17032,15.0,1,False,2010-06-10,True
511774,17032,15.0,1,False,2010-06-10,True
518667,14606,15.0,1,False,2010-08-10,True
518666,14606,15.0,1,False,2010-08-10,True
542743,16191,14.750000000000002,2,False,2011-01-31,True
542725,16191,14.750000000000002,2,False,2011-01-31,True
510154,16947,8.5,2,False,2010-05-27,True
510153,16947,8.5,1,False,2010-05-27,True
492711,12471,6.75,1,False,2009-12-18,True
492713,12471,6.75,1,False,2009-12-18,True
497605,17961,6.35,1,False,2010-02-11,True
497607,17961,6.35,1,False,2010-02-11,True
497610,17961,6.35,1,False,2010-02-11,True
554776,14911,5.8,1,False,2011-05-26,True
554791,14911,5.8,1,False,2011-05-26,True
526634,13440,4.95,1,False,2010-10-12,True
526635,13440,4.95,1,False,2010-10-12,True
526633,13440,4.95,1,False,2010-10-12,True
526636,13440,4.95,1,False,2010-10-12,True
526632,13440,4.95,1,False,2010-10-12,True
